tags,owner,is_answered,view_count,accepted_answer_id,answer_count,score,last_activity_date,creation_date,last_edit_date,question_id,content_license,link,title,closed_date,closed_reason,is_post_ai
"['reactjs', 'docker', 'protocol-buffers', 'grpc', 'envoyproxy']","{'account_id': 5644165, 'reputation': 1, 'user_id': 4466896, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/d9c00e29d34f12b3f5d22781f2cb970c?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Rad', 'link': 'https://stackoverflow.com/users/4466896/rad'}",False,39,,0,0,1728243446,1728243446,,79059948,CC BY-SA 4.0,https://stackoverflow.com/questions/79059948/envoy-proxy-react-frontend-grpc-connection-error-to-go-server,Envoy proxy react frontend grpc connection error to go server,,,true
"['reactjs', 'material-ui', 'webpack-dev-server']","{'account_id': 25807584, 'reputation': 23, 'user_id': 20070554, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e52e87e1cfce67ea9e4d1727b2949310?s=256&d=identicon&r=PG', 'display_name': 'Loizm', 'link': 'https://stackoverflow.com/users/20070554/loizm'}",False,23,,0,0,1728241523,1728241523,,79059884,CC BY-SA 4.0,https://stackoverflow.com/questions/79059884/how-to-fix-webpack-breaking-for-a-specific-package,How to fix webpack breaking for a specific package?,,,true
"['reactjs', 'react-router', 'react-state-management']","{'account_id': 18666718, 'reputation': 1411, 'user_id': 13606509, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-dg_L9KwAgEg/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucmPL5sqhNXWEMBY90NE7lumvWlTcg/photo.jpg?sz=256', 'display_name': 'Praneet Dixit', 'link': 'https://stackoverflow.com/users/13606509/praneet-dixit'}",False,27,,1,-1,1728268061,1728241160,,79059873,CC BY-SA 4.0,https://stackoverflow.com/questions/79059873/state-management-with-react-router,State management with react-router,,,true
"['javascript', 'reactjs']","{'account_id': 21805661, 'reputation': 7, 'user_id': 16103895, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/e45fa2a59e2966759e8b8098e4f86e8d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ameh', 'link': 'https://stackoverflow.com/users/16103895/ameh'}",False,24,,0,0,1728240968,1728240968,,79059867,CC BY-SA 4.0,https://stackoverflow.com/questions/79059867/exporting-a-const-from-an-external-file-to-use-in-reactsearchautocomplete-doesn,Exporting a const from an external file to use in ReactSearchAutocomplete doesn&#39;t work,,,true
"['reactjs', 'azure-ad-msal', 'msal']","{'account_id': 36284136, 'reputation': 11, 'user_id': 27658543, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/0805bf6462adf34d59d1641a1b411c47?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'vVv', 'link': 'https://stackoverflow.com/users/27658543/vvv'}",False,68,,1,1,1728645228,1728237591,1728279413.0,79059780,CC BY-SA 4.0,https://stackoverflow.com/questions/79059780/microsoft-authentication-error-react-hash-empty-error-when-using-loginpopup,Microsoft Authentication error: React &quot;hash_empty_error&quot; when using loginPopup,,,true
"['javascript', 'reactjs', 'node.js', 'next.js13']","{'account_id': 30688279, 'reputation': 1, 'user_id': 23528224, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/ACg8ocIfRPD0J2lwM56Gzfg4_tyAlu3M-VOT1XXuodFCt7pT8s8=k-s256', 'display_name': 'Steve Carter', 'link': 'https://stackoverflow.com/users/23528224/steve-carter'}",False,43,,0,-1,1728239664,1728234021,,79059637,CC BY-SA 4.0,https://stackoverflow.com/questions/79059637/i-am-getting-an-error-when-passing-usestate-setter-function-as-a-callback,i am getting an error when passing useState setter function as a callback,,,true
"['javascript', 'css', 'reactjs', 'material-ui']","{'account_id': 14378776, 'reputation': 376, 'user_id': 10386584, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/7f0632af64e97442236588f579c493e3?s=256&d=identicon&r=PG', 'display_name': 'talha_ah', 'link': 'https://stackoverflow.com/users/10386584/talha-ah'}",True,38,79059702.0,1,0,1728305603,1728231523,1728305603.0,79059550,CC BY-SA 4.0,https://stackoverflow.com/questions/79059550/mui-5-6-border-radius-is-different-in-default-settings-and-when-used-with-theme,MUI 5/6 border radius is different in default settings and when used with theme.shape.borderRadius,,,true
"['reactjs', 'authentication', 'strapi', 'registration']","{'account_id': 25464040, 'reputation': 1, 'user_id': 19263371, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b794baba95ae3e11fb23a58bb5123c91?s=256&d=identicon&r=PG', 'display_name': 'King William', 'link': 'https://stackoverflow.com/users/19263371/king-william'}",False,36,,1,0,1728545631,1728231380,,79059544,CC BY-SA 4.0,https://stackoverflow.com/questions/79059544/drop-down-menu-not-getting-picked-in-react-js,Drop Down Menu not getting picked in React JS,,,true
"['reactjs', 'laravel', 'gzip', 'server-side-rendering', 'inertiajs']","{'account_id': 14604458, 'reputation': 447, 'user_id': 10547776, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/WMJrY.jpg?s=256', 'display_name': 'alireza alizade', 'link': 'https://stackoverflow.com/users/10547776/alireza-alizade'}",True,48,79059328.0,1,-2,1728224939,1728224939,,79059327,CC BY-SA 4.0,https://stackoverflow.com/questions/79059327/laravel-inertia-js-react-ssr-vite-nginx-gzip-configuration,Laravel Inertia.js React SSR Vite Nginx Gzip configuration,,,true
"['javascript', 'reactjs', 'nextjs14']","{'account_id': 28933108, 'reputation': 57, 'user_id': 22161272, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/U1Dly.jpg?s=256', 'display_name': 'comiser', 'link': 'https://stackoverflow.com/users/22161272/comiser'}",False,36,,0,1,1728221928,1728221928,,79059221,CC BY-SA 4.0,https://stackoverflow.com/questions/79059221/cookies-can-only-be-modified-in-a-server-action-or-route-handler,Cookies can only be modified in a Server Action or Route Handler,,,true
"['javascript', 'reactjs', 'firebase', 'ffmpeg', 'firebase-storage']","{'account_id': 25281394, 'reputation': 1, 'user_id': 19109234, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AOh14Gi3I-5OsboZZkf1L-AVJINg7LFsdrSiIg1r4SHZ=k-s256', 'display_name': 'Yuri', 'link': 'https://stackoverflow.com/users/19109234/yuri'}",False,40,,0,0,1728222799,1728220900,1728222799.0,79059182,CC BY-SA 4.0,https://stackoverflow.com/questions/79059182/audio-to-video-conversion-using-ffmpeg-in-react,Audio to Video Conversion using FFmpeg in React,,,true
"['javascript', 'html', 'reactjs', 'express', 'next.js']","{'account_id': 25922441, 'reputation': 115, 'user_id': 19644799, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmmyxHUa0O1hnK4x3I8ZHeGzqtlhcXclNFES66yG=k-s256', 'display_name': 'WinterSolstice', 'link': 'https://stackoverflow.com/users/19644799/wintersolstice'}",False,32,,1,-2,1728301036,1728213388,,79058947,CC BY-SA 4.0,https://stackoverflow.com/questions/79058947/how-to-generate-thumbnails-for-documents-similar-to-google-docs-nextjs,How to generate thumbnails for documents similar to Google Docs - NextJS,,,true
"['reactjs', 'node.js', 'express', 'next.js', 'cookies']","{'account_id': 25854795, 'reputation': 1, 'user_id': 19588263, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AItbvmlMjyuYDUD8tNc22nyywSq4pYRsrk28HgzgukZ6=k-s256', 'display_name': 'Michał', 'link': 'https://stackoverflow.com/users/19588263/micha%c5%82'}",False,18,,0,0,1728213931,1728212953,1728213931.0,79058931,CC BY-SA 4.0,https://stackoverflow.com/questions/79058931/cookies-cross-origin-working-on-desktop-but-not-on-mobile-express-js-railway,"Cookies Cross-Origin Working on Desktop But Not on Mobile (Express.js, Railway, Vercel)",,,true
"['reactjs', 'firebase', 'go', 'axios', 'fly']","{'account_id': 18431016, 'reputation': 75, 'user_id': 13426149, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/41c4207dbb945f44b45ac156fdb10fde?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Victor', 'link': 'https://stackoverflow.com/users/13426149/victor'}",True,52,79072473.0,2,1,1728523436,1728212260,1728522952.0,79058906,CC BY-SA 4.0,https://stackoverflow.com/questions/79058906/after-switching-my-app-to-a-new-database-i-am-getting-cors-request-errors-even,"After switching my app to a new database, I am getting CORS request errors, even though none of my code has changed. Why would this happen?",,,true
"['reactjs', 'next.js', 'app-router']","{'account_id': 15929594, 'reputation': 326, 'user_id': 11494348, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/9b5191510cbd6ea55ef884e5da78d360?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Lori', 'link': 'https://stackoverflow.com/users/11494348/lori'}",False,26,,0,0,1728208989,1728208989,,79058794,CC BY-SA 4.0,https://stackoverflow.com/questions/79058794/is-there-an-easy-way-to-add-a-dynamic-heading-to-next-js-layout-in-app-router,Is there an easy way to add a dynamic Heading to Next.JS layout in app router?,,,true
"['reactjs', 'typescript', 'inertiajs', 'react-tsx']","{'account_id': 17595772, 'reputation': 23, 'user_id': 12766690, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a-/AAuE7mAKQ9E6trHXZtIiVWEJo1t6LNMKaoJ1fSxV3U-L9w=k-s256', 'display_name': 'seadawy', 'link': 'https://stackoverflow.com/users/12766690/seadawy'}",False,27,,0,0,1728209391,1728208449,1728209391.0,79058772,CC BY-SA 4.0,https://stackoverflow.com/questions/79058772/cant-pass-the-data-to-useform,cant pass the data to useForm,,,true
"['javascript', 'reactjs', 'preact-signal']","{'account_id': 2111188, 'reputation': 151, 'user_id': 1876440, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/572fcc1542e7543ede134100f529adf2?s=256&d=identicon&r=PG', 'display_name': 'Uri Kutner', 'link': 'https://stackoverflow.com/users/1876440/uri-kutner'}",True,110,,1,2,1728397436,1728205809,1728397436.0,79058701,CC BY-SA 4.0,https://stackoverflow.com/questions/79058701/how-to-use-react-signals-with-arrays,How to use React Signals with arrays?,,,true
"['javascript', 'reactjs', 'react-router', 'navigation']","{'account_id': 28589081, 'reputation': 1, 'user_id': 21888721, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/c14fef60b7e0dc5f3c80de234d7c1f56?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ksenia Komisarova', 'link': 'https://stackoverflow.com/users/21888721/ksenia-komisarova'}",False,37,,1,-1,1728205833,1728204771,,79058678,CC BY-SA 4.0,https://stackoverflow.com/questions/79058678/how-prevent-navigation-in-react-spa-when-user-manually-enters-page-href-using-re,How prevent navigation in React spa when user manually enters page href using react router v6?,,,true
"['javascript', 'reactjs', 'typescript', 'react-native', 'realm']","{'account_id': 2710229, 'reputation': 5725, 'user_id': 2338858, 'user_type': 'registered', 'accept_rate': 59, 'profile_image': 'https://i.sstatic.net/OyYPI.jpg?s=256', 'display_name': 'shet_tayyy', 'link': 'https://stackoverflow.com/users/2338858/shet-tayyy'}",False,28,,1,0,1728202443,1728199909,1728202443.0,79058569,CC BY-SA 4.0,https://stackoverflow.com/questions/79058569/how-to-reuse-properties-from-a-schema-class-in-a-different-schema,How to reuse properties from a schema/class in a different schema?,,,true
"['javascript', 'reactjs', 'redux', 'react-redux', 'redux-logger']","{'account_id': 36227722, 'reputation': 17, 'user_id': 27631608, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2d671ce89fc6333e12f1e5b4e21dd91d?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Music', 'link': 'https://stackoverflow.com/users/27631608/music'}",True,29,79058547.0,1,1,1728200126,1728198825,1728200126.0,79058542,CC BY-SA 4.0,https://stackoverflow.com/questions/79058542/react-mapstatetoprops-state-calling-reducers-infinitely,React mapStateToProps state calling reducers infinitely,,,true
"['javascript', 'reactjs', 'typescript', 'conventions']","{'account_id': 18637040, 'reputation': 640, 'user_id': 13583700, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/frh0f.jpg?s=256', 'display_name': 'Dawid', 'link': 'https://stackoverflow.com/users/13583700/dawid'}",True,109,79058496.0,1,0,1728202465,1728194766,1728195714.0,79058462,,https://stackoverflow.com/questions/79058462/best-practice-for-exporting-default-functions-in-react-with-typescript,Best Practice for Exporting Default Functions in React with TypeScript?,1728385283.0,Opinion-based,true
"['reactjs', 'sass', 'monorepo', 'nx-monorepo', 'sass-variables']","{'account_id': 17616387, 'reputation': 127, 'user_id': 12783334, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/NUryf.jpg?s=256', 'display_name': 'Awantha Irushan', 'link': 'https://stackoverflow.com/users/12783334/awantha-irushan'}",False,53,,0,0,1728194456,1728194456,,79058453,CC BY-SA 4.0,https://stackoverflow.com/questions/79058453/how-to-share-scss-variables-across-libs-and-apps-in-nx-project,How to share SCSS variables across libs and apps in Nx project?,,,true
"['java', 'reactjs', 'react-native', 'facebook', 'facebook-graph-api']","{'account_id': 20313051, 'reputation': 197, 'user_id': 14899600, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/b46404c64e68da28c1555d1bed06e584?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'NroGamerz', 'link': 'https://stackoverflow.com/users/14899600/nrogamerz'}",False,26,,0,0,1728188495,1728188495,,79058354,CC BY-SA 4.0,https://stackoverflow.com/questions/79058354/trying-to-do-react-native-bridge-module-i-keep-getting-dependency-couldnt-be-fo,Trying to do react-native bridge module I keep getting dependency couldn&#39;t be found,,,true
"['javascript', 'reactjs', 'asynchronous']","{'account_id': 20308164, 'reputation': 1, 'user_id': 14895893, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/ab446550ad21cdd73d373af3bb97bd33?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'yousufaa', 'link': 'https://stackoverflow.com/users/14895893/yousufaa'}",False,25,,1,0,1728220277,1728186876,1728220277.0,79058330,,https://stackoverflow.com/questions/79058330/api-data-not-getting-passed-through-to-main-function-because-it-is-asynchronous,API data not getting passed through to main function because it is asynchronous,1728195302.0,Duplicate,true
"['reactjs', 'node.js', 'docker', 'docker-compose', 'dockerfile']","{'account_id': 2989844, 'reputation': 574, 'user_id': 2537630, 'user_type': 'registered', 'accept_rate': 41, 'profile_image': 'https://www.gravatar.com/avatar/c18398e7bbfb86efd1a8abbe151c03b6?s=256&d=identicon&r=PG', 'display_name': 'Greg Schoppe', 'link': 'https://stackoverflow.com/users/2537630/greg-schoppe'}",False,20,,0,0,1728176884,1728176884,,79058186,CC BY-SA 4.0,https://stackoverflow.com/questions/79058186/mounting-node-project-directory-with-docker-compose-for-easy-development-live-re,mounting node project directory with docker compose for easy development/live reload,,,true
"['reactjs', 'auth0']","{'account_id': 20283372, 'reputation': 288, 'user_id': 14876576, 'user_type': 'registered', 'profile_image': 'https://lh5.googleusercontent.com/-DjzYAxDIsoQ/AAAAAAAAAAI/AAAAAAAAAAA/AMZuucms0haqQkE4nLLaUewtbs0yMIJdQg/s96-c/photo.jpg?sz=256', 'display_name': 'D_Gamer', 'link': 'https://stackoverflow.com/users/14876576/d-gamer'}",True,43,79067805.0,1,-1,1728693718,1728172529,1728693718.0,79058143,CC BY-SA 4.0,https://stackoverflow.com/questions/79058143/route-fails-with-specific-query-parameters-code-and-state,Route Fails with Specific Query Parameters (`code` and `state`),,,true
"['reactjs', 'spring-boot', 'cors']","{'account_id': 36263121, 'reputation': 1, 'user_id': 27648267, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/3f501f3a0b3fcc479f847cbd1e4e21c6?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Harsha vardhan', 'link': 'https://stackoverflow.com/users/27648267/harsha-vardhan'}",False,39,,0,0,1728171766,1728171766,,79058132,CC BY-SA 4.0,https://stackoverflow.com/questions/79058132/cross-origin-request-blocked-reason-cors-header-access-control-allow-origin,Cross-Origin Request Blocked. (Reason: CORS header ‘Access-Control-Allow-Origin’ missing). Status code: 404,,,true
"['javascript', 'android', 'reactjs', 'windows', 'react-native']","{'account_id': 25542665, 'reputation': 3, 'user_id': 19328488, 'user_type': 'registered', 'profile_image': 'https://lh3.googleusercontent.com/a/AATXAJxj-ywWIjdSPA2rozoOtaq73s29NQJFxlwfVZrJ=k-s256', 'display_name': 'Asadullah Hamzah', 'link': 'https://stackoverflow.com/users/19328488/asadullah-hamzah'}",True,49,79058244.0,2,0,1728196101,1728167124,,79058036,CC BY-SA 4.0,https://stackoverflow.com/questions/79058036/android-app-without-android-studio-or-react-native,Android App without Android Studio or React Native?,,,true
"['reactjs', 'google-analytics']","{'account_id': 17765325, 'reputation': 2436, 'user_id': 12900361, 'user_type': 'registered', 'profile_image': 'https://i.sstatic.net/nzwhC.jpg?s=256', 'display_name': 'mleister', 'link': 'https://stackoverflow.com/users/12900361/mleister'}",True,49,,1,0,1728164925,1728164124,,79057980,CC BY-SA 4.0,https://stackoverflow.com/questions/79057980/how-to-disable-enhanced-measurement-events-in-google-analytics-for-a-subdomain,How to Disable Enhanced Measurement Events in Google Analytics for a Subdomain?,,,true
"['reactjs', 'npm', 'deployment', 'github-pages', 'git-lfs']","{'account_id': 36260300, 'reputation': 1, 'user_id': 27647161, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8305cf2fa482c95ae764cf66805dc969?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Ozod Musaev', 'link': 'https://stackoverflow.com/users/27647161/ozod-musaev'}",True,31,,1,0,1728775168,1728160071,,79057886,CC BY-SA 4.0,https://stackoverflow.com/questions/79057886/npm-run-deploy-error-due-to-error-github-file-size-limit,npm run deploy error due to error github file size limit,,,true
"['reactjs', 'cors', 'csrf', 'laravel-11']","{'account_id': 29126863, 'reputation': 1, 'user_id': 22312987, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/047bce4d85b6d2ca85dbbcdb67a79f9e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Shihab Uddin', 'link': 'https://stackoverflow.com/users/22312987/shihab-uddin'}",False,56,,0,0,1728214664,1728158859,1728214664.0,79057862,CC BY-SA 4.0,https://stackoverflow.com/questions/79057862/cors-csrf-token-mismatch-with-laravel-11-sanctum-react-on-different-domains,CORS - CSRF token Mismatch with Laravel 11 Sanctum &amp; React on Different Domains,,,true
"['reactjs', 'katex', 'remarkjs', 'react-markdown']","{'account_id': 19230677, 'reputation': 77, 'user_id': 14052578, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/8f58260d2bc7ca3c95a8c2a6ecec8998?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Niresh', 'link': 'https://stackoverflow.com/users/14052578/niresh'}",False,54,,0,1,1728203144,1728157477,1728203144.0,79057830,CC BY-SA 4.0,https://stackoverflow.com/questions/79057830/react-markdown-not-rendering-properly-with-a-mix-of-html-and-katex,React Markdown not rendering properly with a mix of html and katex,,,true
"['javascript', 'reactjs', 'npm']","{'account_id': 19647323, 'reputation': 1, 'user_id': 14382047, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/fce13be67d2481992318d8cf69121012?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Logan', 'link': 'https://stackoverflow.com/users/14382047/logan'}",False,41,,0,-1,1728152206,1728151903,,79057665,CC BY-SA 4.0,https://stackoverflow.com/questions/79057665/npm-install-error-looking-for-package-json-in-a-nested-directory,"npm install error, looking for package.json in a nested directory",,,true
"['reactjs', 'react-state']","{'account_id': 36257225, 'reputation': 1, 'user_id': 27645826, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/53b5daa286f1867d68771fb36e20a95a?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Daffa Alkahffi', 'link': 'https://stackoverflow.com/users/27645826/daffa-alkahffi'}",False,29,,1,0,1728192777,1728151179,1728192777.0,79057644,CC BY-SA 4.0,https://stackoverflow.com/questions/79057644/how-to-update-a-state-that-will-affect-another-state-in-the-process-react,How to update a state that will affect another state in the process React,,,true
"['reactjs', 'material-ui', 'tailwind-css']","{'account_id': 18580359, 'reputation': 3, 'user_id': 13540058, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/f026d7596f279e8b72cf281e3c18954e?s=256&d=identicon&r=PG&f=y&so-version=2', 'display_name': 'Sagar', 'link': 'https://stackoverflow.com/users/13540058/sagar'}",True,77,79060616.0,2,0,1728277064,1728147069,1728197353.0,79057500,CC BY-SA 4.0,https://stackoverflow.com/questions/79057500/why-are-tailwind-css-classes-not-working-with-material-ui-button,Why are Tailwind CSS classes not working with Material UI &lt;Button&gt;?,,,true
"['reactjs', 'session', 'next.js', 'react-context', 'next-auth']","{'account_id': 26943120, 'reputation': 1, 'user_id': 20513559, 'user_type': 'registered', 'profile_image': 'https://www.gravatar.com/avatar/2e25b98998c7a94d97d893f890410f48?s=256&d=identicon&r=PG', 'display_name': 'Ahmed Taher', 'link': 'https://stackoverflow.com/users/20513559/ahmed-taher'}",False,26,,0,0,1728146377,1728146331,1728146377.0,79057476,CC BY-SA 4.0,https://stackoverflow.com/questions/79057476/sessionprovider-doesnt-respond-to-session-updates,&lt;SessionProvider/&gt; doesn&#39;t respond to session updates,,,true
